07-04-2026 20:00:07 | POST | cafeteria-api/pedidos
07-04-2026 20:00:07 | GET | cafeteria-api/pedidos
07-04-2026 20:00:08 | GET | cafeteria-api/categorias
07-04-2026 20:00:09 | GET | cafeteria-api/produtos
07-04-2026 20:00:09 | GET | cafeteria-api/produtos
07-04-2026 20:00:13 | GET | cafeteria-api/pedidos
07-04-2026 20:00:59 | GET | cafeteria-api/pedidos
07-04-2026 20:01:12 | GET | cafeteria-api/pedidos
10-04-2026 13:08:26 | GET | cafeteria-api/categorias
10-04-2026 13:08:27 | GET | cafeteria-api/produtos
10-04-2026 13:08:28 | GET | cafeteria-api/pedidos
10-04-2026 13:08:31 | GET | cafeteria-api/produtos
10-04-2026 13:08:31 | GET | cafeteria-api/categorias
10-04-2026 13:08:44 | POST | cafeteria-api/categorias
10-04-2026 13:08:44 | GET | cafeteria-api/categorias
10-04-2026 13:08:45 | GET | cafeteria-api/produtos
10-04-2026 13:08:58 | OPTIONS | cafeteria-api/produtos
10-04-2026 13:08:58 | POST | cafeteria-api/produtos
10-04-2026 13:08:58 | GET | cafeteria-api/produtos
10-04-2026 13:09:11 | GET | cafeteria-api/pedidos
10-04-2026 13:09:14 | OPTIONS | cafeteria-api/pedidos
10-04-2026 13:09:14 | POST | cafeteria-api/pedidos
10-04-2026 13:09:14 | GET | cafeteria-api/pedidos
10-04-2026 13:09:18 | OPTIONS | cafeteria-api/pedidos/9
10-04-2026 13:09:18 | DELETE | cafeteria-api/pedidos/9
10-04-2026 13:09:18 | GET | cafeteria-api/pedidos
10-04-2026 13:10:24 | GET | cafeteria-api/pedidos
10-04-2026 13:10:30 | GET | cafeteria-api/pedidos
10-04-2026 13:10:32 | GET | cafeteria-api/produtos
10-04-2026 13:10:33 | GET | cafeteria-api/categorias
10-04-2026 13:17:06 | GET | cafeteria-api/pedidos
10-04-2026 13:20:11 | GET | cafeteria-api/pedidos
10-04-2026 13:20:12 | GET | cafeteria-api/produtos
10-04-2026 13:20:14 | OPTIONS | cafeteria-api/produtos/12
10-04-2026 13:20:14 | DELETE | cafeteria-api/produtos/12
10-04-2026 13:20:14 | GET | cafeteria-api/produtos
10-04-2026 13:20:16 | GET | cafeteria-api/categorias
10-04-2026 13:20:18 | OPTIONS | cafeteria-api/categorias/17
10-04-2026 13:20:18 | DELETE | cafeteria-api/categorias/17
10-04-2026 13:20:18 | GET | cafeteria-api/categorias
10-04-2026 13:20:19 | GET | cafeteria-api/produtos
10-04-2026 13:20:19 | GET | cafeteria-api/pedidos
10-04-2026 13:20:21 | GET | cafeteria-api/produtos
10-04-2026 13:20:26 | GET | cafeteria-api/pedidos
10-04-2026 13:20:31 | GET | cafeteria-api/pedidos
10-04-2026 13:20:31 | GET | cafeteria-api/pedidos
10-04-2026 13:34:14 | GET | cafeteria-api/pedidos
10-04-2026 13:37:52 | GET | cafeteria-api/pedidos
10-04-2026 13:37:52 | GET | cafeteria-api/pedidos
10-04-2026 13:38:11 | GET | cafeteria-api/pedidos
10-04-2026 13:44:20 | GET | cafeteria-api
10-04-2026 13:44:33 | GET | cafeteria-api/produtos
10-04-2026 13:44:47 | GET | cafeteria-api/categorias
10-04-2026 13:44:54 | GET | cafeteria-api/pedidos
10-04-2026 13:48:21 | GET | cafeteria-api/c%20%20%20ontrollers/produtos.php
10-04-2026 13:49:53 | GET | cafeteria-api
10-04-2026 13:49:57 | GET | cafeteria-api/produtos
10-04-2026 13:50:20 | GET | cafeteria-api/pedidos
10-04-2026 13:53:01 | GET | cafeteria-api/pedidos
10-04-2026 13:53:19 | GET | cafeteria-api/produtos
10-04-2026 13:53:20 | GET | cafeteria-api/categorias
10-04-2026 13:53:20 | GET | cafeteria-api/produtos
10-04-2026 13:53:48 | GET | cafeteria-api/pedidos
10-04-2026 14:21:44 | GET | cafeteria-api/categorias
10-04-2026 14:21:44 | GET | cafeteria-api/categorias
10-04-2026 14:21:52 | GET | cafeteria-api/categorias
10-04-2026 14:21:52 | GET | cafeteria-api/categorias
10-04-2026 14:21:53 | GET | cafeteria-api/categorias
